scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
domestic_inflow_zero,2067,5308737.049422886,4002711.2917811824,1306025.7576417043,2352305.371372916,2956431.6780499713,307559.72461437894,2344086.5047634263,2657090.8200450814,0.2460143995611315,0.5005127952860152
domestic_inflow_zero,2068,5172935.5821953565,3862778.7494076737,1310156.8327876825,2289179.1945047737,2883756.387690582,300790.18445303297,2304695.9332563607,2567449.4644859624,0.2532714378460637,0.49632349440476803
domestic_inflow_zero,2069,5040849.386959046,3726750.780038094,1314098.6069209527,2228345.7140636654,2812503.6728953817,294205.4388227843,2268142.0798847927,2478501.86825147,0.26068991672724795,0.49168338071426815
domestic_inflow_zero,2070,4912564.957821511,3594709.0110398424,1317855.946781668,2169811.596165614,2742753.3616558956,287839.7094520454,2234149.460732059,2390575.787637406,0.2682622943608006,0.48662476896743423
domestic_inflow_zero,2071,4788179.662407286,3466746.6222462193,1321433.0401610672,2113579.4354074616,2674600.226999825,281721.4628317734,2202469.9365917826,2303988.26298373,0.2759781656765796,0.4811825005382914
domestic_inflow_zero,2072,4667063.061465548,3342272.8296855306,1324790.231780018,2059349.8606035206,2607713.200862028,275874.18160014047,2176839.1764219683,2214349.7034434397,0.2838595095743163,0.47446320614919885
domestic_inflow_zero,2073,4549106.580352588,3221188.342246138,1327918.238106449,2007109.8785124074,2541996.7018401795,270259.6097278037,2151883.6811213223,2126963.2895034607,0.2919074799965504,0.467556266694153
domestic_inflow_zero,2074,4434922.698632669,3104089.4485367327,1330833.250095935,1956955.6869005258,2477967.011732142,264908.93676041684,2127536.4034543643,2042477.3584178863,0.30008037130077697,0.4605440719513787
domestic_inflow_zero,2075,4324634.819136192,2991093.151134518,1333541.6680016736,1908899.0834960714,2415735.735640121,259846.25166507586,2103738.4439014825,1961050.1235696338,0.30835936992895896,0.453460281754226
domestic_inflow_zero,2076,4218341.949269207,2882291.778258049,1336050.171011158,1862940.8643477038,2355401.084921503,255089.28538081713,2080443.9759533957,1882808.6879349938,0.31672400840871084,0.4463385639614102
domestic_inflow_zero,2077,4116114.591388117,2777748.886567913,1338365.7048202036,1819071.1911410983,2297043.400247019,250650.44016746347,2057843.128919301,1807621.0223013526,0.3251526834603634,0.43915711824042075
domestic_inflow_zero,2078,4017740.405848012,2677255.72482952,1340484.6810184917,1777233.8503837339,2240506.5554642775,246490.24918330676,2035647.0028469395,1735603.1538177652,0.33364143663123497,0.43198489163000986
domestic_inflow_zero,2079,3923552.091929621,2581132.920523189,1342419.1714064318,1737441.6992904767,2186110.3926391443,242610.51465055754,2013836.6795293996,1667104.897749664,0.34214383802056875,0.4248968431383242
domestic_inflow_zero,2080,3833507.871069385,2489330.4836771246,1344177.3873922604,1699657.1870843298,2133850.683985055,239009.74157111347,1992399.1648330642,1602098.9646652075,0.3506390054749756,0.41791983179580383
domestic_inflow_zero,2081,3747552.308751499,2401784.327826699,1345767.9809248,1663838.694331138,2083713.6144203614,235683.1780959738,1971328.3413040596,1540540.7893514656,0.35910585631642433,0.4110791958137333
domestic_inflow_zero,2082,3665619.9048484103,2318419.975787754,1347199.929060656,1629941.2998390477,2035678.605009363,232623.2819744481,1951748.99675284,1481247.6261211224,0.36752308314311405,0.40409198568621874
domestic_inflow_zero,2083,3587851.674526342,2239377.68255885,1348473.9919674918,1597940.977195044,1989910.6973312981,229807.57645981017,1932636.454682075,1425407.6433844566,0.3758444089374217,0.3972872272019536
domestic_inflow_zero,2084,3513862.92408927,2164256.4140121676,1349606.510077102,1567748.4107731325,1946114.5133161373,227218.47897727226,1913992.2917928472,1372652.1533191507,0.38408058004337087,0.39063907243192114
domestic_inflow_zero,2085,3443605.412386122,2092998.498269599,1350606.914116523,1539317.9174524443,1904287.4949336778,224838.85472353344,1895818.525987632,1322948.0316749564,0.3922072224821684,0.3841752678505251
domestic_inflow_zero,2086,3377019.3926147153,2025534.5652712313,1351484.827343484,1512600.6698126816,1864418.7228020336,222651.94731106228,1878115.3952147355,1276252.0500889178,0.4002004934585447,0.3779226299025656
domestic_inflow_zero,2087,3314036.260899594,1961786.3463267598,1352249.9145728338,1487545.5165387604,1826490.7443608332,220641.33183934112,1862948.2905404943,1230446.6385197584,0.40803715111003824,0.3712833963336762
domestic_inflow_zero,2088,3254717.4171888307,1901814.522629027,1352902.8945598034,1464113.5954322256,1790603.8217566048,218790.19422449268,1848436.8630042924,1187490.3599600452,0.4156744568406601,0.36485206171468676
domestic_inflow_zero,2089,3198803.374637505,1845341.5214692003,1353461.853168305,1442225.8643308512,1756577.510306654,217079.29013093,1834568.7316123445,1147155.352894231,0.4231150510530151,0.3586201521449342
