緯度,経度,施設名,所在地,水飲み栓設置場所,営業時間,入場料等,タイプ,稼働停止,備考
35.68241314,139.5631299,第一分庁舎,三鷹市新川６－35－16,１階ホール,月曜～金曜　8：30～17：00,,飲み口型,,
35.68197594,139.5615916,三鷹中央防災公園・元気創造プラザ,三鷹市新川６－３７－１,"スポーツセンター：地下２階、地下１階、１階,プラザ：２階、３階、４階、５階""",,,飲み口型,,
35.66727842,139.5759613,三鷹東部市政窓口,三鷹市中原１-29-35,１階,月曜～金曜　8時30分～17時00分,,飲み口型,,
35.68326164,139.5592773,公会堂,三鷹市野崎１－１－１,ホールホワイエ,,催しにより有料,飲み口型,,
35.68288038,139.5591727,公会堂さんさん館,三鷹市野崎１－１－１,１・２・３・４階,,,飲み口型,,
35.68326,139.55942,三鷹市役所本庁舎,三鷹市野崎１－１－１,１階おくやみ窓口・３階議場棟横・４階休憩室・５階文書庫前,8：30～17：00,,飲み口型,,
35.68291733,139.5606611,三鷹市役所第二庁舎,三鷹市野崎１－１－１,１階ホール・２階休憩室・３階休憩室,8：30～17：00,,飲み口型,,
35.6831243,139.5605799,三鷹市役所第三庁舎,三鷹市野崎１－１－１,廊下,8：30～17：00,,飲み口型,,
35.68326,139.55942,三鷹市役所本庁舎,三鷹市野崎１－１－１,２階市税総合窓口,月曜～金曜　8：30～17：00,,飲み口型,,
35.68390749,139.5389188,三鷹西部市政窓口,三鷹市野崎３－28－11,１階,月曜～金曜　8時30分～17時00分,,飲み口型,,
35.66368237,139.6977408,渋谷区役所,渋谷区宇田川町１－１,１～１５階,平日8:30~17:15,,ボトルディスペンサー型・飲み口型,,
35.6453437,139.7195815,恵比寿社会教育館,渋谷区恵比寿２－２７－１８,地下１階,"9:00~20:30、日曜日は9:00~17:30
休館日：火曜日",,飲み口型,,
35.64711747,139.7065647,長谷戸社会教育館,渋谷区恵比寿西１－２３－４,１階,"9:00~20:30、日曜日は9:00~17:30
休館日：火曜日",,飲み口型,,
35.64944358,139.716117,臨川みんなの図書館,渋谷区広尾１－９－１７,１階第３閲覧室廊下,"火～土：9:00~19:00
日・月・祝休：9:00~17:00
休館日：第2・4月曜とその前週の火曜、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.655859,139.700121,こもれび大和田図書館,"渋谷区桜丘町２３－２１
文化総合センター大和田２階",児童用トイレ前,"月～土：9:00~21:00、日・祝休：9:00~17:00
休館日：第2・4月曜とその前週の火曜、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.673767,139.668145,笹塚図書館,"渋谷区笹塚１－４７－１
メルクマール京王笹塚４階",カウンター横,"火～土：10:00~21:00 、日・祝休10:00~18:00
休館日：月曜（祝休日の場合は開館）、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.67873,139.66975,笹塚こども図書館,渋谷区笹塚３－３－１,２階窓口前,"10:00~17:00
休館日：月曜、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.66182946,139.704553,美竹の丘・しぶや,渋谷区渋谷１－１８－９,１階総合案内前・２階階段,"火～土：9:00~21:00、日：9:00~17:00
休館日：月曜日、年末年始(12/29~1/3)",,飲み口型,,
35.6684907,139.6872497,富ヶ谷図書館,渋谷区上原１－４６－２,誰でもトイレ入口,"火～土：9:00~19:00
日・月・祝休：9:00~17:00
休館日：第1・3月曜とその翌週の火曜、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.66649607,139.6785321,上原社会教育館,渋谷区上原３－１３－８,地下１階・２階,"9:00~20:30、日曜日：9:00~17:30
休館日：月曜日",,飲み口型,,
35.67245181,139.7061331,中央図書館,渋谷区神宮前１－４－１,１・３階,"火～土：9:00~21:00、
日・月・祝休9：00～18：00
休館日：第1月曜、第3木曜（祝日の場合は開館し直後の平日が休館）",,飲み口型,,
35.67539408,139.6817138,総合ケアコミュニティ・せせらぎ,渋谷区西原１－４０－１０,１・２階階段踊り場・２階正面玄関ＥＶ横,"火～土：9:00~21:00、日：9:00~17:00
休館日：月曜日、年末年始(12/29~1/3)",,飲み口型,,
35.67489414,139.6778232,西原図書館,渋谷区西原２－２８－９,２階検索機付近,"火～土：9:00~19:00、日・月・祝休：9:00~17:00
休館日：第1・3月曜とその翌週の火曜、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.67936,139.71217,東京体育館,渋谷区千駄ヶ谷１－１７－１,プール棟,,有料,ボトルディスペンサー型・飲み口型,,
35.67804,139.71001,千駄ヶ谷社会教育館,渋谷区千駄ヶ谷１－６－５,地下１階・１・２・３階,"9:00~20:30、日曜日：9:00~17:30
休館日：月曜日",,飲み口型,,
35.68841566,139.7006962,東京観光情報センターバスタ新宿,渋谷区千駄ヶ谷5-24-55,バスタ新宿３階,6:30～23:00,,ボトルディスペンサー型,,
35.68382,139.70178,代々木駅（都営大江戸線）,渋谷区代々木１－３５－５,ホーム,始発から終電まで,有料,飲み口型,,
35.68757333,139.6993332,新宿駅（都営大江戸線）,渋谷区代々木２－１－１,ホーム,始発から終電まで,有料,飲み口型,,
35.65496,139.70737,リフレッシュ氷川,渋谷区東１－２６－２３,地下1階,"9:00～21:00
休館日：水曜日、年末年始",,飲み口型,,
35.65075213,139.7096698,ひがし健康プラザ,渋谷区東３－１４－１３,地下２階・地下１階・１・２階,9:00~21:00、第１第３火曜日：9:00~18:00,,飲み口型,,
35.6798771,139.677321,幡ヶ谷社会教育館（一時使用休止中）,渋谷区幡ヶ谷２－５０－２,２・４階,"9:00~20:30、日曜日：9:00~17:30
休館日：月曜日",,飲み口型,,
35.68076,139.68161,本町図書館,渋谷区本町１－３３－５,１階児童トイレ前、２階一般トイレ前,"火～土：9:00~19:00
日・月・祝休：9:00~17:00
休館日：第2・4月曜とその前週の火曜、第2木曜（祝休日の場合は開館し直後の平日が休館）",,飲み口型,,
35.6892307,139.6810708,地域交流センター　二軒家,渋谷区本町３ー３５ー４,リラクゼーションルーム,"9:00～21:00(リラクゼーションルームは9:00～17：00)
休館日：月曜日、第2日曜日
※リラクゼーションルームは日曜日使用不可",,飲み口型,,
