緯度,経度,施設名,所在地,水飲み栓設置場所,営業時間,入場料等,タイプ,稼働停止,備考
35.71016614,139.6207756,ウェルファーム杉並,杉並区天沼３－１９－１６,１階、２階、３階,"8:30~17:00
定休日：土曜日、日曜日、祝日、年末年始（12/29~1/3）",,ボトルディスペンサー型・飲み口型,,
35.71249,139.60223,西荻地域区民センター,杉並区桃井４－３ー２,地下2階,"9:00~21:00
定休日：第2水曜日、年末年始（12/28~1/4）",,飲み口型,,
35.69497988,139.6145864,南荻窪図書館,杉並区南荻窪１－１０－２,１・２階,"月~土 9:00~20:00、日・祝日 9:00~17:00
定休日：毎月第1月曜日、第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.69672584,139.6107633,大宮前体育館,杉並区南荻窪２－１－１,地下２階～１階,"午前9時から午後9時
定休日：毎月第3火曜日・年末年始（12/28~1/4）",,飲み口型,,
35.69718,139.65404,高円寺地域区民センター,杉並区梅里１－２２－３２,地下1階、1階、2階、3階,"9:00~21:00
定休日：第2火曜日、年末年始（12/28~1/4）",,ボトルディスペンサー型・飲み口型,,
35.68038631,139.6300262,浜田山会館,杉並区浜田山１－３６－３,１階,"9:00~21:00
定休日：館内整理日　毎月20日",,飲み口型,,
35.6790333,139.6599907,方南図書館,杉並区方南１－５１－２,,"月~土 9:00~20:00、日・祝日 9:00~17:00
定休日：毎月第1月曜日、第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.71259517,139.6242634,コミュニティふらっと本天沼,杉並区本天沼２－１２－１０,１階,"9:00~21:00
定休日：第1・第3月曜日、年末年始（12/28~1/4）",,飲み口型,,
35.67528333,139.6460454,水道局和泉合同庁舎,杉並区和泉３－８－１０,２階,平日8:30-17:15,,飲み口型,,
35.67574169,139.6459542,永福和泉地域区民センター,杉並区和泉３－８－１８,地下１階,"9:00~21:00
定休日：第2・第4水曜日、年末年始（12/28~1/4）、館内整理日（毎月15日）",,飲み口型,,
35.69734,139.6576235,杉並第十小温水プール,杉並区和田３－５５－４９,地下１階受付,"9:00~21:00
定休日：毎月第1火曜日、年末年始（12/28~1/4）",,飲み口型,,
35.62496836,139.6194823,岡本地区会館,世田谷区岡本１－２５－４,入口ロビー,9:00?22:00,,飲み口型,,
35.64149,139.67621,下馬図書館,世田谷区下馬２－３２－１,１階フロア,9:00~19:00,,飲み口型,,
35.62247,139.61351,鎌田区民センター,世田谷区鎌田３－３５－１,１階入口ロビー・地下１階図書館入口付近,9:00?22:00,,飲み口型,,
35.62084729,139.5960657,砧野球場・サッカー場,世田谷区喜多見１－１２－２,１階ロビー,,,飲み口型,,
35.63184,139.62123,砧公園,世田谷区砧公園１－１,サービスセンター前,8:30~17:30,,ボトルディスペンサー型,,
35.64774,139.64473,宮坂区民センター,世田谷区宮坂１－２４－６,地階,9:00~22:00,,飲み口型,,
35.65156356,139.6379695,経堂図書館,世田谷区宮坂３－１－３０,１階,"火～土曜日:9:00~21:00
日・月曜日、祝・休日:9:00～20:00",,飲み口型,,
35.63689,139.65196,弦巻区民センター,世田谷区弦巻１－２６－１１,地下１階・１・２・３階,"9:00?22:00
休館日：第2・4月曜日、年末年始",,飲み口型,,
35.63754964,139.6443733,中央図書館,世田谷区弦巻３－１６－８,１階図書館内,"火～日曜日:9:00~19:00
月曜日、祝・休日:9:00～17:00",,飲み口型,,
35.63770986,139.6441225,教育会館,世田谷区弦巻３－１６－８,１階ロビー,"火～日曜日:9:00~19:00
月曜日、祝・休日:9:00～17:00",,飲み口型,,
35.64582563,139.6234048,桜丘区民センター別館,世田谷区桜丘２－２２－１,１階,"9:00?22:00 
休館日：第2・4月曜日、年末年始",,飲み口型,,
35.64478,139.62202,桜丘区民センター,世田谷区桜丘５－１４－１,地下１階・１階,"9:00?22:00 
休館日：第2・4月曜日、年末年始",,飲み口型,,
35.65362279,139.611639,千歳台地区会館,世田谷区千歳台３－３１－９,１階入口ロビー,9:00~22:00,,飲み口型,,
35.65926948,139.6207375,希望丘地域体育館,世田谷区船橋６－２５－１,１階廊下・３階自動販売機横,"9:00~21:00
休館日：毎月第3火曜日、10月第3日曜日、年末年始（12/29~1/3）
※その他、保守点検などにより臨時に休館することがあります。",,ボトルディスペンサー型・飲み口型,,
35.65918831,139.6162501,千歳温水プール,世田谷区船橋７－９－１,２階,"9:00~21:00
年始（1月1日～3日）：9:00~17:00
休館日：毎月第1月曜日（国民の祝日の場合は、その直後の平日）※8月・1月・2月は除く、年末（12/29~12/31）
※その他、保守点検などにより臨時に休館することがあります。",有料,飲み口型,,
35.64225557,139.6041595,砧図書館,世田谷区祖師谷３－１０－４,１・２階,"火～日曜日:9:00~19:00
月曜日、祝・休日:9:00～17:00",,飲み口型,,
35.64311949,139.6730876,水道局世田谷営業所,世田谷区太子堂１－１３－１３,２階,平日8:30~17:15,,飲み口型,,
35.63145151,139.6125303,総合運動場温水プール,世田谷区大蔵4－6－1,地下２階男女更衣室・１階男女更衣室前,"9:00~21:00
年始（1/1~1/3）9:00~17:00
休館日:毎月第3月曜日（国民の祝日の場合は、その直後の平日）
※7月は第2月曜日、8月は除く年末（12/29~31）
※その他、保守点検などにより臨時に休館することがあります。",一部有料,飲み口型,,
35.63044619,139.6122342,総合運動場体育館,世田谷区大蔵4－6－1,地下１階ロビー,"9:00~21:00
休館日：年末年始（12/29～1/3）
※その他、保守点検などにより臨時に休館することがあります。",,ボトルディスペンサー型・飲み口型,,
35.62975,139.6111,総合運動場陸上競技場,世田谷区大蔵4－6－1,１階エントランス,"9:00~21:00
休館日：年末年始（12/29～1/3）
※その他、保守点検などにより臨時に休館することがあります。",,ボトルディスペンサー型・飲み口型,,
35.63108,139.6142,大蔵第二運動場,世田谷区大蔵４－７－１,トレーニングルーム・ゴルフ練習場,"トレーニングルーム：9:00~22:00
ゴルフ練習場：
【早朝ゴルフ】平日 5:00~8:00、土日祝日 4:30~8:00
※冬季（12月～2月）は利用時間が1時間遅くなります。
【通常ゴルフ】平日 9:00~22:00、土日祝日 8:30~22:00
休館日:年2回（2月、6月）施設保守点検にて休館。
※その他、保守点検などにより臨時に休館することがあります。",一部有料,飲み口型,,
35.66692788,139.6089057,世田谷文学館,世田谷区南烏山１－１０－１０,１階,"火～日曜日:9:00~19:00
月曜日、祝・休日:9:00～17:00",,飲み口型,,
35.66868,139.60066,烏山図書館,世田谷区南烏山６－２－１９,４階図書館入口,"火～土曜日：9:00~21:00
日・月曜日、祝・休日：9:00~20:00",,飲み口型,,
35.60515,139.65414,尾山台地域体育館,世田谷区尾山台３－１９－３,１階ロビー（アリーナ入口）,"9:00～21:00
休館日：毎月第4水曜日 16:00～21:00、年末年始（12/29~1/3）
※その他、保守点検などにより臨時に休館することがあります。",,飲み口型,,
35.7975951,139.5334636,清瀬市立市民体育館,清瀬市下宿２－５２４－１,１階　入口付近,,,飲み口型,,
35.77981211,139.5206907,清瀬市郷土博物館,清瀬市上清戸２－６－４１,１階,,,飲み口型,,
35.77638968,139.530882,清瀬市立児童センター,清瀬市中清戸３－２３５－５,１階,,,飲み口型,,
35.78525195,139.5266011,清瀬市役所,清瀬市中里５－８４２,１階,,,ボトルディスペンサー型・飲み口型,,
35.77913,139.49931,野塩地域市民センター,清瀬市野塩１－３２２－２,１階　入口付近,9:00～22:00（休館日：月曜日、年末年始）,,飲み口型,,
35.7935956,139.0466115,奥多摩水と緑のふれあい館,西多摩郡奥多摩町原５,１階階段下,"9:30～17:00
（休館日）
水曜日（水曜日が祝日の場合は翌日）
年末年始（12月28日から1月4日まで）
※冬期は臨時休館する場合がございます。",,ボトルディスペンサー型,,
35.79099222,139.3552096,元狭山コミュニティセンター,西多摩郡瑞穂町大字二本木６７３ー１,１階ロビー,9:00~22:00,,飲み口型,,
35.780891,139.33717,長岡コミュニティセンター,西多摩郡瑞穂町大字箱根ケ崎１１８０,１階ロビー,9:00~22:00,,飲み口型,,
35.76157021,139.3399164,武蔵野コミュニティセンター,西多摩郡瑞穂町むさし野１ー５（瑞穂アパート２７号棟１階）,１階ロビー,9:00~21:30,,飲み口型,,
35.77368122,139.3567219,瑞穂町保健センター,西多摩郡瑞穂町石畑１９７０,１階ロビー,8:30~17:00,,飲み口型,,
35.77355093,139.3563247,瑞穂町子ども家庭支援センター,西多摩郡瑞穂町石畑１９７２,１階,9:00~17:00,,飲み口型,,
35.77292146,139.3571604,中央体育館,西多摩郡瑞穂町大字石畑１９８９－１,館内,9:00~21:30,,飲み口型,,
35.72939648,139.5357837,西東京市障害者総合支援センター（フレンドリー）,西東京市田無町４－１７－１４,２階給湯室,,,飲み口型,,
35.73181356,139.5363588,田無総合福祉センター,西東京市田無町５－５－１２,１階～３階,,,ボトルディスペンサー型・飲み口型,,
35.72598413,139.5382463,田無庁舎,西東京市南町５－６－１３,１・３階,,,飲み口型,,
35.73621138,139.7708027,西日暮里ふれあい館,荒川区西日暮里6-24-4,2階、3階,9:00~22:00,,飲み口型,,
35.75034973,139.7632975,尾久ふれあい館,荒川区西尾久2-25-13,1階、2階、3階、4階、5階,9:00~22:00,,飲み口型,,
35.75164564,139.7537426,西尾久ふれあい館,荒川区西尾久8-33-31,2階、3階,9:00~22:00,,飲み口型,,
35.68533698,139.7631477,大手町駅（都営三田線）,千代田区丸の内１－３－１先,ホーム,始発から終電まで,有料,飲み口型,,
35.67685,139.76387,東京国際フォーラム,千代田区丸の内３－５－１,地上広場,7：00～23：30,,ボトルディスペンサー型,,
35.69395,139.75354,千代田区役所本庁舎,千代田区九段南１－２－１,２～８階,8:30~17:00,,ボトルディスペンサー型・飲み口型,,
35.69106163,139.735665,市ヶ谷駅（都営新宿線）,千代田区九段南４－８－２２,ホーム,始発から終電まで,有料,飲み口型,,
35.69558341,139.775191,岩本町駅（都営新宿線）,千代田区神田岩本町１,ホーム,始発から終電まで,有料,飲み口型,,
35.69519343,139.766899,小川町駅（都営新宿線）,千代田区神田小川町１－６,ホーム,始発から終電まで,有料,飲み口型,,
35.6959432,139.7578047,神保町駅（都営三田線）,千代田区神田神保町２－１,ホーム,始発から終電まで,有料,飲み口型,,
35.69513536,139.7582531,神保町駅（都営新宿線）,千代田区神田神保町２－７,ホーム,始発から終電まで,有料,飲み口型,,
35.66933573,139.75532,内幸町駅（都営三田線）,千代田区内幸町２－２－３先,ホーム,始発から終電まで,有料,飲み口型,,
35.68908871,139.7681939,千代田合同庁舎（水道局千代田営業所）,千代田区内神田２－１－１２,２階,平日8:30-17:15,,ボトルディスペンサー型,,
35.67485495,139.7597597,日比谷駅（都営三田線）,千代田区有楽町１－１３－１先,ホーム,始発から終電まで,有料,飲み口型,,
35.79129128,139.7810541,伊興地域学習センター,足立区伊興２－４－２２,１・２・３階,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.80273,139.80721,花畑地域学習センター,足立区花畑４－１６－８,１・２階,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.76864,139.78322,興本体育館,足立区興野１－１７－７,１階廊下・２階トレーニングルーム内,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.76837078,139.7824699,興本地域学習センター,足立区興野１－１８－３８,１階ロビー,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.7799,139.79071,ギャラクシティ,足立区栗原１－３－１,１階事務室側トイレ入口,9：00 ～ 21：30,,ボトルディスペンサー型,,
35.7759474,139.7602144,江北地域学習センター,足立区江北３－３９－４,１階ロビー・２階廊下,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.7768849,139.7653588,すこやかプラザ　あだち,足立区江北5-14-5,1階,"7:30~22:30
臨時休館日、年末年始を除く",,ボトルディスペンサー型,,
35.78812,139.84047,佐野地域学習センター,足立区佐野２－４３－５,２階,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.78317185,139.7457874,都市農業公園,足立区鹿浜２－４４－１,都市農業交流館１階,"10~5月 9:00~17:00、6~9月 9:00~18:00
※第一・三水曜日は休園(祝日、10/1の場合は翌日)",,ボトルディスペンサー型,,
35.78408312,139.7577208,鹿浜地域学習センター,足立区鹿浜６－８－１,１・２階,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.8060084,139.7730983,舎人地域学習センター,足立区舎人１－３－２６,２階,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.77160707,139.7381924,新田地域学習センター,足立区新田２－２－２,２階,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.77869663,139.7808226,西新井センター,足立区西新井１－４－１７,"２階　悠々館エリア（廊下）
３階　児童館エリア（廊下）","9:00~18:00
（日曜日、祝日、年末年始は除く）",,ボトルディスペンサー型,,
35.8036,139.79733,スイムスポーツセンター,足立区西保木間４－１０－１,１階*2台、２階,"9:00~21:00
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.80355,139.79671,悠々会館,足立区西保木間四丁目９番１号,１階　ロビー、２階　ホール,"9:00~17:00
（月曜日、第３日曜日、祝日、年末年始、月曜が祝日の場合には、翌日の火曜日は除く）",,ボトルディスペンサー型,,
35.75162254,139.8021124,千住温水プール,足立区千住３－３０,地下1階,"9:00~20:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.75647,139.80241,足立区生涯学習センター,足立区千住5-13-5,1階ロビー,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.756448,139.802337,中央図書館,足立区千住５－１３－５（学びピア２１内）,３階,"9:00~20：00
(休館日および年末年始を除く)",,ボトルディスペンサー型,,
35.77717801,139.8445472,大谷田住区センター,足立区大谷田1-1-2-101,2階集会室前,"9:00~18:00
日曜日、祝日、館内整理日、年末年始を除く",,ボトルディスペンサー型,,
35.79273035,139.7947184,竹の塚地域学習センター,足立区竹の塚２－２５－１７,１階,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.77504249,139.8044797,足立区役所本庁舎,足立区中央本町１－１７－１,中央館１階,"平日 8:00~22:00、土日祝 8:30~22:00
(全館閉館日・年末年始を除く)",,ボトルディスペンサー型,,
35.77227929,139.8096314,中央本町地域学習センター,足立区中央本町３－１５－１,１階,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.77223899,139.8097677,中央本町住区センター,足立区中央本町3-15-1,児童館工作室前,"9:00~18:00
日曜日、祝日、館内整理日、年末年始を除く",,ボトルディスペンサー型,,
35.77208828,139.8078252,水道局足立営業所,足立区中央本町３－８－２,１階,平日8:30-17:15,,飲み口型,,
35.78278773,139.7967331,島根住区センター,足立区島根4-19-1-101,2階廊下,"9:00~18:00
日曜日、祝日、館内整理日、年末年始を除く",,ボトルディスペンサー型,,
35.77043741,139.8314833,東綾瀬公園温水プール,足立区東綾瀬３－４－１,１階,"9:00~20:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.79188,139.81367,総合スポーツセンター,足立区東保木間２－２７－１,１階、２階、３階,"9:00~21:00
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.77121976,139.8395875,東和地域学習センター,足立区東和3-12-9,1階受付前（廊下）、2階トレーニングルーム横（廊下）・体育館前,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.77062,139.79814,梅田地域学習センター,足立区梅田７－３３－１,１・４階,"9:00~21:30
(毎月第三月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.78687544,139.8163557,保塚地域学習センター,足立区保塚町７－１６,１・２階,"9:00~21:30
(毎月第二月曜日の休館日（変更の可能性有）および年末年始を除く)",,ボトルディスペンサー型,,
35.79312,139.80699,生物園,足立区保木間２－１７－１,１階,"2~10月 9：30~17：00、11~1月 9：30~16：30
(毎週月曜は休園(祝日、10/1の場合は翌日)。但し、区内小学校の春・夏・冬休み期間中は開園)",有料,ボトルディスペンサー型,,
35.63715821,139.4475045,多摩市役所,多摩市関戸6-12-1,１階,8：30～17：15,,ボトルディスペンサー型・飲み口型,,
35.62517783,139.4166528,山王下庁舎内（水道局多摩サービスステーション）,多摩市山王下１－１７,１階,平日8:30-17:15,,飲み口型,,
35.64366,139.43626,多摩市立総合体育館,多摩市東寺方５８８－１,１階第２スポーツホール・２階トレーニングルーム,9：00～21：15,,飲み口型,,
35.64329842,139.4376819,東寺方老人福祉館・地区市民ホール,多摩市東寺方６６２６－７,３階ロビー,9：30～21：30,,飲み口型,,
35.61226,139.41402,多摩市立温水プール（アクアブルー多摩）,多摩市南野３－１５－２,２階エントランス,"（平日）9：00～22：00
（土日祝）9：00～20：00",,飲み口型,,
35.70981234,139.7971426,浅草駅（都営浅草線）,台東区駒形１－１２－１４,ホーム,始発から終電まで,有料,飲み口型,,
35.70697871,139.7820001,新御徒町駅（都営大江戸線）,台東区元浅草１－５－２,ホーム,始発から終電まで,有料,飲み口型,,
35.70547517,139.7925796,蔵前駅（都営大江戸線）,台東区寿３－３－１,ホーム,始発から終電まで,有料,飲み口型,,
35.70794787,139.7733846,上野御徒町駅（都営大江戸線）,台東区上野５－２６－６,ホーム,始発から終電まで,有料,飲み口型,,
35.7160017,139.7728481,恩賜上野動物園,台東区上野公園９ー８３,さるやまキッチン,"9:30~17:00（入園および入園券・年間パスポートの販売は16時まで）
休園日:月曜日（月曜日が国民の祝日や振替休日、都民の日の場合はその翌日が休園日）、年末年始（12月29日～翌年1月1日）9:30~17:00（入園および入園券・年間パスポートの販売は16時まで）
休園日:月曜日（月曜日が国民の祝日や振替休日、都民の日の場合はその翌日が休園日）、年末年始（12月29日～翌年1月1日）",有料,ボトルディスペンサー型,,
35.69749011,139.7859366,浅草橋駅（都営浅草線）,台東区浅草橋１－１８－１１,ホーム,始発から終電まで,有料,飲み口型,,
35.70310785,139.790778,蔵前駅（都営浅草線）,台東区蔵前２－３－１,ホーム,始発から終電まで,有料,飲み口型,,
35.7126,139.77994,台東区役所,台東区東上野4-5-6,２・４・５・７・９・１０階,平日8:30-17:15,,飲み口型,,
35.71063827,139.7965372,浅草文化観光センター,台東区雷門２－１８－９,並木通り側出入口付近,"9:00~20:00
休館日:年中無休(ただし、メンテナンス等のため休館することがあります。)",,ボトルディスペンサー型,,
35.763,139.59079,大泉リサイクルセンター,練馬区大泉学園町１－３４－１０,１階コミュニティコーナー,"9:00~17:00
休館日：毎週水曜日※祝・休日は開館し、その直後の祝・休日でない日に休館",,飲み口型,,
35.56137861,139.7161333,大田区役所本庁舎,大田区蒲田５－１３－１４,１階ロビー,8:30~17:00（土、日、祝日、年末年始除く）,,ボトルディスペンサー型・飲み口型,,
35.58054131,139.6940505,久が原特別出張所,大田区久が原４－１２－１０,１階,,,飲み口型,,
35.58683957,139.7059307,西馬込駅（都営浅草線）,大田区西馬込２－１－６,ホーム,始発から終電まで,有料,飲み口型,,
35.55920259,139.7363924,糀谷文化センター,大田区西糀谷２－１４－５,１階,8:30～22:00,,飲み口型,,
35.56681262,139.7458861,大森東特別出張所,大田区大森南４－９－１,１階ロビー,月～金（祝日、年末年始を除く）,,飲み口型,,
35.58116163,139.7373989,大森スポーツセンター,大田区大森本町２－２－５,地下２・１階,9:00~22:00,,飲み口型,,
35.57962775,139.7197154,新井宿特別出張所,大田区中央１－２１－６,１階,平日 8:30~17:00,,飲み口型,,
35.58791499,139.6772552,嶺町文化センター,大田区田園調布本町７－１,１階,8:30～22:00,,飲み口型,,
35.58113505,139.7602902,大田市場,大田区東海３－２－１,事務棟２階展示室,平日 8:30~15:30（土・日・祝を除く平）,,飲み口型,,
35.56444,139.72792,大田区総合体育館,大田区東蒲田１ー１１ー１,地下１階,9:00～21:00,,飲み口型,,
35.57488,139.6853,鵜の木特別出張所,大田区南久が原２－３０－５,地下１階,平日 8:30~17:00,,飲み口型,,
35.59637481,139.7118119,馬込駅（都営浅草線）,大田区北馬込２－３１－９,ホーム,始発から終電まで,有料,飲み口型,,
35.66625024,139.768349,築地社会教育会館,中央区築地4丁目15番1号,２階廊下,9:00～21:00（臨時休館日除く）,,飲み口型,,
35.67555496,139.7720462,宝町駅（都営浅草線）,中央区京橋２－１３－１１先,ホーム,始発から終電まで,有料,飲み口型,,
35.66966012,139.7671157,東銀座駅（都営浅草線）,中央区銀座４－１０－１０先,ホーム,始発から終電まで,有料,飲み口型,,
35.66380138,139.7840074,月島駅（都営大江戸線）,中央区月島１－５－４先,ホーム,始発から終電まで,有料,飲み口型,,
35.66196333,139.7821203,月島社会教育会館,中央区月島4丁目1番1号　月島区民センター　4・5階,４階給湯室,9:00～21:00（臨時休館日除く）,,飲み口型,,
35.65906238,139.777243,勝どき駅（都営大江戸線）,中央区勝どき２－１０－１５先,ホーム,始発から終電まで,有料,飲み口型,,
35.65867549,139.7861968,月島社会教育会館晴海分館「アートはるみ」,中央区晴海1丁目4番1号　月島第三小学校等複合施設地下１階,B1階ロビー,9:00～21:00（臨時休館日除く）,,ボトルディスペンサー型・飲み口型,,
35.65200825,139.7748867,晴海地域交流センター「はるみらい」,中央区晴海5-2-3,1階・4階,9:00～21:00（臨時休館日除く）,,飲み口型,,
35.66484875,139.7669389,築地市場駅（都営大江戸線）,中央区築地５－１－２,ホーム,始発から終電まで,有料,飲み口型,,
35.69210647,139.7848662,東日本橋駅（都営浅草線）,中央区東日本橋３－１１－８先,ホーム,始発から終電まで,有料,飲み口型,,
35.68203283,139.7749355,日本橋駅（都営浅草線）,中央区日本橋１－１３－１先,ホーム,始発から終電まで,有料,飲み口型,,
35.69183228,139.7830659,馬喰横山駅（都営新宿線）,中央区日本橋横山町４－１３,ホーム,始発から終電まで,有料,飲み口型,,
35.68488048,139.7815279,日本橋社会教育会館,中央区日本橋人形町1丁目1番17号　日本橋小学校等複合施設　地下2階,８階ホールロビー,9:00～21:00（臨時休館日除く）,,飲み口型,,
35.6863724,139.7821908,人形町駅（都営浅草線）,中央区日本橋人形町３－７－１３,ホーム,始発から終電まで,有料,飲み口型,,
35.68839119,139.7878122,浜町駅（都営新宿線）,中央区日本橋浜町２－５９－３,ホーム,始発から終電まで,有料,飲み口型,,
35.73260805,139.6704344,新江古田駅（都営大江戸線）,中野区江原町２－２９－１３,ホーム,始発から終電まで,有料,飲み口型,,
35.72878596,139.6699965,江古田区民活動センター,中野区江原町２－３－１５,１・２階ロビー,8:30~22:00(年末年始を除く),,飲み口型,,
35.72552512,139.6736434,みずの塔ふれあいの家,中野区江古田１－９－２４,１階交流コーナー,月・火・木・土 10:00~18:00,,飲み口型,,
35.7249949,139.6690725,江古田図書館,中野区江古田2-1-11,1階入口横,"9:00~20:00
【休館日】定期休館日：毎月第2月曜日（その日が休日の場合は直後の休日でない日）、館内整理日：毎月最終金曜日（その日が休日の場合はその前日）、年末年始（12/29~1/3）",,飲み口型,,
35.72343,139.63985,鷺宮区民活動センター,中野区鷺宮３ー２２－５,１階,8:30~22:00(年末年始を除く),,飲み口型,,
35.71148979,139.6725515,上高田区民活動センター,中野区上高田２－１１－１,地下1階・1階・2階,8:30~22:00(年末年始を除く),,飲み口型,,
35.71888566,139.6752232,上高田図書館,中野区上高田5-30-15,２階エレベーター前,"9:00~20:00
【休館日】定期休館日：毎月第2月曜日（その日が休日の場合は直後の休日でない日）、館内整理日：毎月最終金曜日（その日が休日の場合はその前日）、年末年始（12/29~1/3）",,飲み口型,,
35.71665466,139.6784096,上高田運動施設,中野区上高田5-6-1,野球場（施設利用者のみ）,9:00~21:00,,飲み口型,,
35.73189047,139.6320894,上鷺宮区民活動センター,中野区上鷺宮3ー７－６,１階ロビー,8:30~22:00(年末年始を除く),,飲み口型,,
35.71422511,139.6634602,新井区民活動センター,中野区新井３ー１１－４,１・２階ロビー,8:30~22:00(年末年始を除く),,飲み口型,,
35.7158968,139.6629875,中野区立総合体育館,中野区新井３－３７－７８,１階エントランスロビー、１階メインアリーナ前、２階ラウンジ奥、３階トレーニングルーム内,6:45~22:30,,ボトルディスペンサー型・飲み口型,,
35.71427127,139.6442337,中央図書館美鳩小学校分室,中野区大和町4-26-5,１階エントランス,"10:00~19:00
【休館日】毎週火・木・日曜日・祝日
※夏期休業等は毎日開館（中央図書館の休館日を除く）",,飲み口型,,
35.69831203,139.6833769,中野東図書館,中野区中央1-41-2,7階・8階・9階　階段横,"9:00~21:00
【休館日】定期休館日：毎月第2木曜日（その日が休日の場合は直後の休日でない日）、館内整理日：毎月最終金曜日（その日が休日の場合はその前日）、年末年始（12/29~1/3）",,飲み口型,,
35.70032974,139.6826644,東部区民活動センター,中野区中央２－１８－２１,２階ロビー,8:30~22:00(年末年始を除く),,飲み口型,,
35.69706499,139.6822675,中野坂上駅（都営大江戸線）,中野区中央２－２－２８,ホーム,始発から終電まで,有料,飲み口型,,
35.7023317,139.6673149,桃園区民活動センター,中野区中央４－５７－１,地下1階・1階ロビー,8:30~22:00(年末年始を除く),,飲み口型,,
35.70409,139.677,城山ふれあいの家,中野区中野１－２０－４,１階事務室前,"月・火・木・土 10:00~18:00、水・金 10:00~19:00
祝日、年末年始は休み",,飲み口型,,
35.70169968,139.6776984,水道局中野営業所,中野区中野１－５－７,１階,平日8:30-17:15,,飲み口型,,
35.70432364,139.6680392,中野区産業振興センター,中野区中野２－１３－１４,１階エントランスロビー,9:00~21:30（毎月の第3月曜日・年末年始を除く）,,飲み口型,,
35.70433956,139.6719106,もみじ山文化センター(本館),中野区中野2-9-7,"・B2階身障者用トイレ前、B1階図書館トイレ前、B1階図書館児童コーナー
・2階ホワイエ2、3階楽屋男子シャワー室前（※イベント来場者・主催者のみ）
・3階ホワイエ3（※ホール利用者のみ）","9:00~22:00
定休日：2,6,11月の第4月曜※休日にあたる場合はその翌日、年末年始",,飲み口型,,
35.70479143,139.6711776,もみじ山文化センター(西館),中野区中野2-9-7,B1階～4階の給湯室,"9:00~22:00
定休日：2,6,11月の第4月曜※休日にあたる場合はその翌日、年末年始",,飲み口型,,
35.70445959,139.6716916,中央図書館,中野区中野2-9-7,地下１階トイレ前・地下２階トイレ前※いずれもZEROホール敷地内,"9:00~21:00
【休館日】定期休館日：毎月第2月曜日※2月・6月・11月は第4月曜日（その日が休日の場合は直後の休日でない日）、館内整理日：毎月最終金曜日（その日が休日の場合はその前日）、年末年始(12/29~1/3)",,飲み口型,,
35.70920734,139.6630901,中野区役所,中野区中野4-11-19,１階,8:30~21:30,,ボトルディスペンサー型・飲み口型,,
35.70929644,139.665323,中野区社会福祉会館,中野区中野５－６８－７,３、４階,"9:00~22:00
定休日：日曜日、祝日、第３月曜日、年末年始",,ボトルディスペンサー型,,
35.70728429,139.6832271,東中野駅（都営大江戸線）,中野区東中野３－８－１６,ホーム,始発から終電まで,有料,飲み口型,,
35.68538737,139.6657598,南台図書館,中野区南台3-26-18,1階入口横,"9:00~20:00
【休館日】定期休館日：毎月第2木曜日（その日が休日の場合は直後の休日でない日）、館内整理日：毎月最終金曜日（その日が休日の場合はその前日）、年末年始（12/29~1/3）",,飲み口型,,
